,notice_title,URL,Date of Notice, Event Number,Rapid Response Specialist,Reason Stated for Filing,Company,County,WDB Name, Region,Contact,Phone,Business Type,Number Affected,Total Employees,Layoff Date,Closing Date,Reason for Dislocation,FEIN NUM,Union,Classification,Amended
21,Freeman Expositions LLC - New York City Region,https://labor.ny.gov/app/warn/details.asp?id=9167, 9/18/2020, 2020-0230, Stuart Goldberg, Plant Layoff,"Freeman Expositions LLC 429 11th Avenue New York, NY 10011", New York , NEW YORK CITY , New York City," Stephanie J. Hart, SVP and Deputy General Counsel", (214) 445-1139, Event Management, 26, ----, Separations will occur between 9/23/2020 - 3/1/2021. Furloughs will extend beyond six months and are expected to be permanent in nature., ----, Unforeseeable business circumstances prompted by COVID-19., 27-0073479, The employees are not represented by a union., Plant Layoff,
22,Aramark (at 4 JP Morgan Chase & Co. NYC sites) - New York City Region,https://labor.ny.gov/app/warn/details.asp?id=9191, 7/31/2020                           Amendment: 9/18/2020, 2020-0097, Stuart Goldberg, Temporary Plant Layoff,"Aramark (at 4 JP Morgan Chase & Co. NYC sites) Building 146 Jamaica, NY 11430", Queens/Kings/New York , NEW YORK CITY , New York City," lldiko Agoston, Human Resources Director", (571) 282-9125, Food services, 107, ----, Seventeen (17) additional employees will be temporarily separated effective 10/31/2020., ----, Unforeseeable business circumstances prompted by COVID-19., 38-3972560, UNITE HERE Local 100, Temporary Plant Layoff,                          Amendment: 9/18/2020
23,P.F. Chang's China Bistro - Mid-Hudson Region,https://labor.ny.gov/app/warn/details.asp?id=9180, 9/4/2020, 2020-0240, Elias Flores, Temporary Plant Closing/Temporary Plant Layoff,"P.F. Chang's China Bistro 160 Market Street Yonkers, NY 10710", Westchester , WESTCH/PTNM , Mid-Hudson," Ken Bellefeuille, Human Resources Business Partner", (480) 888-3776, Restaurant, 31, ----," The temporary reduction in operations, which began in March 2020, will exceed six months.", 3/17/2020, Unforeseeable business circumstances prompted by COVID-19., 86-0815086, The employees are not represented by a union., Temporary Plant Closing/Temporary Plant Layoff,
24,"Compass Group USA, Inc. dba Flik Hospitality - New York City Region",https://labor.ny.gov/app/warn/details.asp?id=9163, 9/17/2020, 2020-0227, Stuart Goldberg, Plant Layoff,"Compass Group USA, Inc. dba Flik Hospitality 55 Hudson Yards New York, NY 10001", New York , NEW YORK CITY , New York City," Evan Laspina, District Manager FLIK", (516) 236-1932, Food Service, 30, ----, Furloughs which began in March 2020 for 30 employees will become permanent separations on 9/30/2020., ----, Unforeseeable business circumstances prompted by COVID-19., 56-1874931, The employees are not represented by a union., Plant Layoff,
25,Alamo Drafthouse LLC - Mid-Hudson Region,https://labor.ny.gov/app/warn/details.asp?id=9185, 9/25/2020, 2020-0245, Elias Flores, Temporary Plant Layoff,"Alamo Drafthouse LLC 2548 Central Park Ave Yonkers, NY 10710", Westchester , WESTCH/PTNM , Mid-Hudson," Jamie Thorpe, Vice President, People", (405) 323-5603, Movie theaters that is famous for serving dinner and drinks during the movie., 103, ----, Furlough that began on 3/13/2020 will exceed six months., ----, Unforeseeable business circumstances prompted by COVID-19., 27-2425717, The employees are not represented by a union., Temporary Plant Layoff,
26,P.F. Chang's China Bistro - Long Island Region,https://labor.ny.gov/app/warn/details.asp?id=9176, 9/4/2020, 2020-0238, Frederick Danks, Temporary Plant Closing/Temporary Plant Layoff,"P.F. Chang's China Bistro 160 Walt Whitman Road, Space 1027B Huntington Station, NY 11746", Suffolk , SUFFOLK , Long Island," Ken Bellefeuille, Human Resources Business Partner", (480) 888-3776, Restaurant, 58, ----," The temporary reduction in operations, which began in March 2020, will exceed six months.", 3/17/2020, Unforeseeable business circumstances prompted by COVID-19., 86-0815086, The employees are not represented by a union., Temporary Plant Closing/Temporary Plant Layoff,
27,"Compass Group USA, Inc. dba Flik Hospitality - New York City Region",https://labor.ny.gov/app/warn/details.asp?id=9164, 9/17/2020, 2020-0225, Stuart Goldberg, Plant Layoff,"Compass Group USA, Inc. dba Flik Hospitality JFK Airport, Terminal 4 Jamaica, NY 01143", Queens , NEW YORK CITY , New York City," Joe Zarro, District Manager FLIK", (860) 384-5478, Food Service, 46, ----, Furloughs which began in March 2020 for 46 employees will become permanent separations on 9/30/2020, ----, Unforeseeable business circumstances prompted by COVID-19., 56-1874931, The employees are not represented by a union., Plant Layoff,
28,Marriott Resorts Hospitality Corporation dba Marriott Vacation Club Pulse New York - New York City Region,https://labor.ny.gov/app/warn/details.asp?id=9160, 3/23/2020                           Amendment: 9/11/2020, 2019-0633, Stuart Goldberg, Temporary Plant Closing/Plant Layoff,"   Marriott Resorts Hospitality Corporation dba Marriott Vacation Club Pulse New York 33 West 37th Street New York, NY 10018", New York , NEW YORK CITY , New York City," Ingrid B. Ossa, Human Resources Manager", (646) 368-6427, Hotel, 93, 93," 3/28/2020 - Of the 93 employees previously furloughed on 3/28/2020, 29 will be permanently separated effective 12/11/2020.", 3/28/2020, Unforeseeable business circumstances prompted by COVID-19, 57-0715279," New York Hotel & Motel Trades Council, AFL-CIO", Temporary Plant Closing/Plant Layoff,                          Amendment: 9/11/2020
29,Mandarin Oriental New York City Hotel - New York City Region,https://labor.ny.gov/app/warn/details.asp?id=9161, 3/26/2020                            Amendment: 7/10/2020, 2019-0682, Stuart Goldberg, Temporary Plant Closing/Plant Layoff,"   Mandarin Oriental New York City Hotel80 Columbus Circle New York, NY 10023", New York , NEW YORK CITY , New York City," Steven A. Conte, Director of Human Resources", (212) 805-8892, Hotel, 50, ------," 3/27/2020 - Of the 50 employees previously furloughed on 3/27/2020 due to the temporary closing of the hotel, 37 employees will be permanently separated effective 8/10/2020.", -----, Unforeseeable business circumstances prompted by COVID-19, 46-0505693, The employees are not represented by a union, Temporary Plant Closing/Plant Layoff,                           Amendment: 7/10/2020
30,"Havatequila Restaurant Partners, LLC (operating as El Vez restaurant) - New York City Region",https://labor.ny.gov/app/warn/details.asp?id=9154, 3/25/2020                            Amendment: 8/31/2020, 2019-0733, Stuart Goldberg, Temporary Plant Closing/Plant Layoff,"Havatequila Restaurant Partners, LLC (operating as El Vez restaurant)259 Vesey St. New York, NY 10282", New York , NEW YORK CITY , New York City," Melissa MacLeod, Vice President and General Counsel", (267) 312-1644, Restaurant, 73, 73, Seventy-three (73) employees previously impacted by the temporary closing will be permanently separated effective 10/31/2020., 3/23/2020, Unforeseeable business circumstances prompted by COVID-19., 27-4844151, The employees are not represented by a union., Temporary Plant Closing/Plant Layoff,                           Amendment: 8/31/2020
31,"26th Street Restaurant, LLC dba Upland NYC - New York City Region",https://labor.ny.gov/app/warn/details.asp?id=9158, 3/25/2020                            Amendment: 8/31/2020, 2019-0888, Stuart Goldberg, Temporary Plant Closing/Plant Layoff,"26th Street Restaurant, LLC dba Upland NYC 345 Park Ave. South New York, NY 10010", New York , NEW YORK CITY , New York City," Melissa MacLeod, Vice President and General Counsel", (267) 312-1644, Restaurant, 55, -----, Fifty-five (55) employees previously impacted by the temporary closing will be permanently separated effective 10/31/2020., -----, Unforeseeable business circumstances prompted by COVID-19., 46-4813440, The employees are not represented by a union., Temporary Plant Closing/Plant Layoff,                           Amendment: 8/31/2020
32,"Avis Budget Car Rental, LLC - New York City Region / Western Region / Central Region / Long Island Region / Mid-Hudson Region",https://labor.ny.gov/app/warn/details.asp?id=9151, 8/28/2020, 2020-0214 thru 2020-0218," Stuart Goldberg, Michele Taylor, Frederick Danks, Elias Flores, and Karl Price", Temporary Plant Layoff/Plant Layoff,"      Avis Budget Car Rental, LLC (NYC, Western, Long Island, Mid-Hudson, & Central Regions)", New York/Queens , Onondaga , Central," Christlie Julien, Human Resource Business Partner", (718) 397-6426, Car Rental Services, 67 (total affected employees at all regional sites), ----," Furloughs occurred from April through June for 67 employees across all 14 sites. Of the 67 affected employees, 50 will have their furloughs extended indefinitely and 17 will be permanently separated on 9/1/2020.", ----, Unforeseeable business circumstances prompted by COVID-19., 22-3475741, To be determined, Temporary Plant Layoff/Plant Layoff,
33,"Maryhaven Center of Hope Inc. (Children's Residential Program, Boy's Dormitory, Young Men's Dormitory, Center Dormitory and CRP House A and C) - Long Island Region",https://labor.ny.gov/app/warn/details.asp?id=9159, 5/26/2020                            Amendment: 9/4/2020, 2019-1712, Frederick Danks, Plant Closing,"Maryhaven Center of Hope Inc. (Children's Residential Program, Boy's Dormitory, Young Men's Dormitory, Center Dormitory and CRP House A and C) 450 Myrtle Avenue Port Jefferson, NY 11777", Suffolk , SUFFOLK , Long Island," Eva Tarantino, Vice President, Human Resources", (631) 474-4100, Disability services & support organization, 53, 53, The closing and permanent separations of the remaining 53 employees will be postponed from between 8/23/2020 and 9/7/2020 to between 10/23/2020 and 11/6/2020., 10/23/2020 – 11/6/2020, Economic, 11-2861698, The employees are not represented by a union., Plant Closing,                           Amendment: 9/4/2020
34,"Havatequila Restaurant Partners, LLC - New York City Region",https://labor.ny.gov/app/warn/details.asp?id=9153, 3/25/2020                            Amendment: 8/31/2020, 2019-0733, Stuart Goldberg, Temporary Plant Closing/Plant Layoff,"Havatequila Restaurant Partners, LLC 259 Vesey St. New York, NY 10282", New York , NEW YORK CITY , New York City," Melissa MacLeod, Vice President and General Counsel", (267) 312-1644, Restaurant, 73, 73, Fifty (50) employees previously impacted by the temporary closing will be permanently separated effective 10/31/2020, 3/23/2020, Unforeseeable business circumstances prompted by COVID-19., -----, The employees are not represented by a union., Temporary Plant Closing/Plant Layoff,                           Amendment: 8/31/2020
35,"Buddakan NY, L.P. dba Buddakan NYC - New York City Region",https://labor.ny.gov/app/warn/details.asp?id=9155, 3/25/2020                            Amendment: 8/31/2020, 2019-0887, Stuart Goldberg, Temporary Plant Closing/Plant Layoff,"Buddakan NY, L.P. dba Buddakan NYC 75 9th Avenue New York, NY 10011", New York , NEW YORK CITY , New York City," Melissa MacLeod, Vice President and General Counsel", (267) 312-1644, Restaurant, 74, -----, Separations for 74 employees previously impacted by the temporary closing will be permanently separated effective 10/31/2020., -----, Unforeseeable business circumstances prompted by COVID-19., 74-3114576, The employees are not represented by a union., Temporary Plant Closing/Plant Layoff,                           Amendment: 8/31/2020
36,"Dr. Howard Dr. Fine, LLC (operating as La Mercerie restaurant) - New York City Region",https://labor.ny.gov/app/warn/details.asp?id=9156, 3/25/2020                            Amendment: 8/31/2020, 2019-0744, Stuart Goldberg, Temporary Plant Closing/Plant Layoff,"Dr. Howard Dr. Fine, LLC (operating as La Mercerie restaurant)53 Howard Street New York, NY 10013", New York , NEW YORK CITY , New York City," Melissa MacLeod, Vice President and General Counsel", (267) 312-1644, Restaurant, 50, -----, Fifty (50) employees previously impacted by the temporary closing will be permanently separated effective 10/31/2020., 3/23/2020, Unforeseeable business circumstances prompted by COVID-19., 38-4039464, The employees are not represented by a union., Temporary Plant Closing/Plant Layoff,                           Amendment: 8/31/2020
37,"Century 21 Department Stores, LLC - New York City Region",https://labor.ny.gov/app/warn/details.asp?id=9149, 6/9/2020                             Amendment: 9/23/2020, 2019-1785 thru 2019-1790, Stuart Goldberg, Plant Closing,"Century 21 Department Stores, LLC New York City Region", New York/Kings/Queens , NEW YORK CITY , New York City," Cara Muraco, Director of Human Resources", (212) 227-9092, Retail Store, 599, 599 (Total employees at New York City Region sites)," The stores and corporate offices will be permanently closing on 11/22/2020 impacting 599 employees. Employees at the stores will be permanently separated on 9/11/2020 and 11/22/2020 and employees at the Corporate offices will be permanently separated on 9/11/2020, 10/15/2020 and 11/22/2020. The Lincoln Square Store will be closing to the public on or about 10/5/2020 and all active employees will be permanently separated on or about 10/9/2020 rather than on 11/22/2020.", -----, Unforeseeable business circumstances prompted by COVID-19., 13-4144073," United Food and Commercial Workers Union, Local 888", Plant Closing,                            Amendment: 9/23/2020
38,"Chelsea Piers Sports and Recreation Complex (Chelsea Piers Management, Inc.) - New York City Region",https://labor.ny.gov/app/warn/details.asp?id=9152, 6/2/2020                            Amendment: 8/27/2020, 2019-1715, Stuart Goldberg, Temporary Plant Layoff/Plant Layoff,"Chelsea Piers Sports and Recreation Complex (Chelsea Piers Management, Inc.) 62 Chelsea Piers, Room 300 New York, NY 10011", New York , NEW YORK CITY , New York City," Keith Champagne, HR Director", (212) 336-6833, Sports and Recreation Complex, 528, -----, Nineteen (19) employees previously on furlough have been permanently separated between 6/2/2020 and 8/31/2020., -----, Unforeseeable business circumstances prompted by COVID-19., 13-3668842, The employees are not represented by a union., Temporary Plant Layoff/Plant Layoff,                           Amendment: 8/27/2020
39,"Train Design, LLC (operating as Pastis Restaurant) - New York City Region",https://labor.ny.gov/app/warn/details.asp?id=9157, 3/25/2020                           Amendment: 8/31/2020, 2019-0764, Stuart Goldberg, Temporary Plant Closing/Plant Layoff,"Train Design, LLC (operating as Pastis Restaurant)52 Gansevoort Street New York, NY 10014", New York , NEW YORK CITY , New York City," Melissa MacLeod, Vice President and General Counsel", (267) 312-1644, Restaurant, 107, -----, Separations for 107 employees previously impacted by the temporary closing will be permanently separated effective 10/31/2020., 3/23/2020, Unforeseeable business circumstances prompted by COVID-19., 36-4894346, The employees are not represented by a union., Temporary Plant Closing/Plant Layoff,                          Amendment: 8/31/2020
40,"J. C. Penney Corporation, Inc. (South Shore Mall) - Long Island Region",https://labor.ny.gov/app/warn/details.asp?id=9150, 6/25/2020                           Rescission: 9/23/2020, 2019-1903, Frederick Danks, Permanent Plant Closing,"J. C. Penney Corporation, Inc. (South Shore Mall) 1701 Sunrise Hwy Bay Shore, NY 11706", Suffolk , SUFFOLK , Long Island," Dominic Charland, General Manager", (631) 666-3000 Ext: 200, Retail, 136, 136, 9/25/2020 The business is rescinding their 6/25/2020 WARN notice. They no longer intend to close the South Shore Mall store., 9/27/2020, Unforeseeable business circumstances prompted by COVID-19, 13-5583779, The employees are not represented by a union., Permanent Plant Closing,                          Rescission: 9/23/2020
